"product_id","name","description","brand","category","price","image_file","rating","reviews"
"P001","Apple iPhone 14 Pro","Latest iPhone with A16 chip Dynamic Island Pro camera system and all day battery life","Apple","Phones","79999","p001.jpg","4.7","Great camera;Smooth performance;Premium build"
"P002","Samsung Galaxy S23 Ultra","Flagship Samsung phone with S Pen 200MP camera Snapdragon processor","Samsung","Phones","99999","p002.jpg","4.6","Best Android phone;S Pen is useful;Great display"
"P003","OnePlus 11","Flagship killer with Hasselblad cameras 100W charging Snapdragon 8 Gen 2","OnePlus","Phones","56999","p003.jpg","4.5","Fast charging;Smooth UI;Great value"
"P004","Google Pixel 8 Pro","AI powered phone with best camera 7 years of updates Tensor G3 chip","Google","Phones","79999","p004.jpg","4.4","Best camera;AI features are amazing;Clean software"
"P005","Xiaomi 13 Pro","Premium phone with Leica cameras 120W charging Snapdragon 8 Gen 2","Xiaomi","Phones","62999","p004.jpg","4.3","Great camera;Fast charging;Good display"
"P006","Realme GT 3","Flagship killer with 240W charging Snapdragon 8+ Gen 1 144Hz display","Realme","Phones","37999","p006.jpg","4.2","Incredible charging speed;Good performance;Value for money"
"P007","Vivo X90 Pro","Professional photography phone with Zeiss optics 120W charging","Vivo","Phones","54999","p007.jpg","4.3","Amazing camera;Good battery;Premium feel"
"P008","Oppo Find X6 Pro","Premium phone with Hasselblad cameras 100W charging","OPPO","Phones","69999","p008.jpg","4.4","Excellent camera;Beautiful display;Fast charging"
"P009","Motorola Edge 40 Pro","Clean Android experience 165Hz display Snapdragon 8 Gen 2","Motorola","Phones","49999","p009.jpg","4.2","Smooth performance;Clean UI;Good value"
"P010","Asus ROG Phone 7","Ultimate gaming phone with 165Hz display AeroActive Cooler 6000mAh battery","Asus","Gaming Phones","79999","p010.jpg","4.6","Best gaming phone;Excellent cooling;Massive battery"
"P011","Apple MacBook Pro 14","M1 Pro chip 16GB RAM 512GB SSD Liquid Retina XDR display","Apple","Laptops","199999","p011.jpg","4.8","Powerful;Beautiful display;Great battery"
"P012","Dell XPS 15","Intel Core i7 16GB RAM 512GB SSD 15.6 inch 3.5K OLED display","Dell","Laptops","149999","p012.jpg","4.6","Stunning display;Premium build;Good performance"
"P013","HP Spectre x360","Intel Core i7 16GB RAM 1TB SSD 14 inch 2K OLED touchscreen","HP","Laptops","129999","p013.jpg","4.5","Versatile 2-in-1;Great display;Good battery"
"P014","Lenovo ThinkPad X1 Carbon","Intel Core i7 16GB RAM 512GB SSD 14 inch 2.8K OLED display","Lenovo","Laptops","159999","p014.jpg","4.7","Best business laptop;Lightweight;Excellent keyboard"
"P015","Asus Zenbook Pro 14","Intel Core i9 32GB RAM 1TB SSD 14 inch 2.8K OLED display","Asus","Laptops","179999","p015.jpg","4.6","Powerful;Beautiful display;Good for creators"
"P016","Microsoft Surface Laptop 5","Intel Core i7 16GB RAM 512GB SSD 13.5 inch PixelSense display","Microsoft","Laptops","119999","p016.jpg","4.4","Premium design;Great display;Good performance"
"P017","Acer Swift 5","Intel Core i7 16GB RAM 1TB SSD 14 inch 2K display","Acer","Laptops","89999","p017.jpg","4.3","Lightweight;Good performance;Value for money"
"P018","Apple MacBook Air M2","Apple M2 chip 8GB RAM 256GB SSD 13.6 inch Liquid Retina display","Apple","Laptops","99999","p018.jpg","4.7","Lightweight;Great battery;Fast performance"
"P019","Razer Blade 15","Gaming laptop with RTX 4070 Intel Core i7 16GB RAM 144Hz display","Raser","Gaming Laptops","179999","p019.jpg","4.5","Great for gaming;Premium build;Good display"
"P020","Samsung Galaxy Book 3 Pro","Intel Core i7 16GB RAM 512GB SSD 14 inch 2K AMOLED display","Samsung","Laptops","109999","p020.jpg","4.4","Good display;Lightweight;Seamless Samsung ecosystem"
